RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:APP,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,1.291,92.921,72
2,0,46717,Viktor Hovland,0.945,53.840,57
3,0,33204,Shane Lowry,0.765,46.688,61
3,0,50525,Collin Morikawa,0.765,50.472,66
5,0,39324,J.J. Spaun,0.738,56.061,76
6,0,30911,Tommy Fleetwood,0.711,46.937,66
7,0,49960,Sepp Straka,0.677,46.037,68
8,0,51696,Rico Hoey,0.667,50.719,76
8,0,30163,Henrik Norlander,0.667,46.025,69
10,0,36884,Ben Kohles,0.656,42.621,65
11,0,52453,Nicolai Højgaard,0.600,25.185,42
12,0,48081,Xander Schauffele,0.578,30.032,52
13,0,34098,Russell Henley,0.577,38.068,66
14,0,56630,Akshay Bhatia,0.575,45.429,79
15,0,35450,Patrick Cantlay,0.564,37.218,66
16,0,40058,Zac Blair,0.537,23.079,43
17,0,52375,Doug Ghim,0.531,39.309,74
18,0,52666,Sami Valimaki,0.516,35.633,69
19,0,32839,Hideki Matsuyama,0.483,35.254,73
20,0,47679,Victor Perez,0.479,34.954,73
21,0,46414,Aaron Rai,0.476,30.010,63
22,0,54591,Ben Griffin,0.466,44.306,95
23,0,54628,Lee Hodges,0.465,28.855,62
24,0,46646,Antoine Rozner,0.462,26.360,57
25,0,25900,Lucas Glover,0.458,30.691,67
26,0,59018,Ryan Gerard,0.457,40.238,88
27,0,40026,Daniel Berger,0.456,30.546,67
28,0,25493,Nick Taylor,0.427,30.710,72
29,0,37455,Si Woo Kim,0.425,37.824,89
30,0,60882,Thomas Rosenmueller,0.406,23.160,57
31,0,51890,Greyson Sigg,0.392,23.882,61
32,0,48117,Kurt Kitayama,0.389,26.040,67
33,0,30926,Chris Kirk,0.388,27.527,71
34,0,34021,Bud Cauley,0.377,24.508,65
35,0,39975,Michael Kim,0.368,30.570,83
36,0,31323,Gary Woodland,0.364,26.180,72
37,0,59143,Mac Meissner,0.340,24.455,72
38,0,33448,Justin Thomas,0.325,22.731,70
39,0,39997,Corey Conners,0.315,23.022,73
40,0,52215,Robert MacIntyre,0.312,24.310,78
41,0,35532,Tom Hoge,0.311,24.601,79
42,0,45242,Kevin Yu,0.310,24.215,78
43,0,29936,Ryan Fox,0.303,19.388,64
43,0,31646,Emiliano Grillo,0.303,23.926,79
45,0,27139,David Skinns,0.291,17.187,59
46,0,34256,Andrew Putnam,0.287,17.815,62
47,0,34255,Joseph Bramlett,0.281,9.555,34
48,0,46442,Maverick McNealy,0.280,23.772,85
49,0,33141,Keegan Bradley,0.278,20.305,73
50,0,33199,Matteo Manassero,0.274,10.675,39
51,0,60019,Jackson Suber,0.270,16.499,61
52,0,34587,Chan Kim,0.269,16.962,63
53,0,36326,David Lipsky,0.266,15.961,60
54,0,57362,Austin Eckroat,0.252,18.636,74
55,0,22405,Justin Rose,0.250,12.236,49
56,0,66743,Luke Clanton,0.243,12.128,50
57,0,40115,Adam Svensson,0.238,15.018,63
58,0,34046,Jordan Spieth,0.230,13.800,60
59,0,36799,Stephan Jaeger,0.220,17.374,79
60,0,59160,John Pak,0.213,12.166,57
61,0,33968,Thorbjørn Olesen,0.209,14.011,67
62,0,57123,Steven Fisk,0.202,12.728,63
62,0,47993,Denny McCarthy,0.202,16.335,81
64,0,47591,Eric Cole,0.189,17.555,93
65,0,39546,Keith Mitchell,0.172,11.894,69
66,0,24502,Adam Scott,0.170,9.874,58
67,0,34076,Joel Dahmen,0.163,9.618,59
68,0,28237,Rory McIlroy,0.157,7.844,50
69,0,35310,Lanto Griffin,0.153,8.901,58
70,0,55182,Tom Kim,0.152,11.224,74
71,0,51287,Ryo Hisatsune,0.151,11.467,76
72,0,28775,Nate Lashley,0.147,6.929,47
73,0,54576,Patrick Fishburn,0.144,9.945,69
74,0,59866,Nick Dunlap,0.131,8.651,66
75,0,40250,Taylor Pendrith,0.128,9.844,77
76,0,40098,Matt Fitzpatrick,0.123,8.100,66
76,0,57364,Michael Thorbjornsen,0.123,8.008,65
76,0,27064,Jhonattan Vegas,0.123,7.654,62
79,0,28252,Seamus Power,0.107,7.374,69
80,0,23108,Matt Kuchar,0.098,5.585,57
81,0,48887,Matt Wallace,0.093,5.133,55
82,0,36801,Mark Hubbard,0.091,7.269,80
83,0,58168,Davis Thompson,0.087,7.061,81
84,0,47988,Nick Hardy,0.086,4.030,47
85,0,46340,Alex Smalley,0.083,5.844,70
86,0,51349,Nico Echavarria,0.081,5.497,68
87,0,49771,J.T. Poston,0.076,6.307,83
88,0,51950,Max McGreevy,0.072,5.033,70
88,0,52513,Carson Young,0.072,4.347,60
90,0,27644,Brian Harman,0.069,5.407,78
91,0,59440,Ricky Castillo,0.060,3.808,64
91,0,46601,Trey Mullinax,0.060,3.347,56
93,0,48867,Matti Schmid,0.059,3.610,61
94,0,59836,Pierceson Coody,0.058,1.963,34
95,0,32102,Rickie Fowler,0.042,3.010,71
95,0,54304,Karl Vilips,0.042,2.202,53
97,0,37275,Sam Ryder,0.041,3.114,76
98,0,52955,Ludvig Åberg,0.037,2.248,60
99,0,39335,Kevin Roy,0.032,2.080,66
100,0,40006,Erik van Rooyen,0.017,1.018,61
