RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST AFTER GFG SHOT,TOTAL GFG SHOTS
1,0,51696,Rico Hoey,20.0,137406.000,191
2,0,48117,Kurt Kitayama,20.7,125844.000,169
2,0,57364,Michael Thorbjornsen,20.7,134390.000,180
4,0,46717,Viktor Hovland,21.0,99736.000,132
5,0,57123,Steven Fisk,21.1,114639.000,151
6,0,32839,Hideki Matsuyama,21.2,113042.000,148
6,0,51997,Andrew Novak,21.2,130298.000,171
6,0,33968,Thorbjørn Olesen,21.2,118944.000,156
6,0,34046,Jordan Spieth,21.2,109936.000,144
10,0,40026,Daniel Berger,21.4,116114.000,151
11,0,34255,Joseph Bramlett,21.7,67335.000,86
11,0,47993,Denny McCarthy,21.7,135823.000,174
11,0,46046,Scottie Scheffler,21.7,144971.000,186
11,0,24502,Adam Scott,21.7,105398.000,135
11,0,51894,Vince Whaley,21.7,136083.000,174
16,0,55708,Hayden Buckley,21.8,68986.000,88
17,0,40098,Matt Fitzpatrick,21.9,122778.000,156
18,0,35532,Tom Hoge,22.0,124274.000,157
18,0,35658,Kris Ventura,22.0,112638.000,142
20,0,36801,Mark Hubbard,22.1,141645.000,178
20,0,52215,Robert MacIntyre,22.1,142712.000,179
20,0,64693,Matthew Riedel,22.1,84394.000,106
23,0,50484,Hayden Springer,22.2,111830.000,140
23,0,45242,Kevin Yu,22.2,182648.000,229
25,0,25900,Lucas Glover,22.3,88238.000,110
26,0,33413,Ben Martin,22.4,78302.000,97
27,0,49453,Trevor Cone,22.5,106277.000,131
27,0,56762,Will Gordon,22.5,90645.000,112
27,0,48867,Matti Schmid,22.5,117302.000,145
27,0,51890,Greyson Sigg,22.5,99747.000,123
31,0,54576,Patrick Fishburn,22.6,137292.000,169
31,0,52686,Rasmus Højgaard,22.6,123605.000,152
31,0,49947,Taylor Moore,22.6,140015.000,172
34,0,51977,Max Greyserman,22.7,152681.000,187
34,0,28237,Rory McIlroy,22.7,113794.000,139
36,0,35450,Patrick Cantlay,22.8,138954.000,169
36,0,45157,Cam Davis,22.8,118286.000,144
36,0,46442,Maverick McNealy,22.8,160241.000,195
36,0,57586,Jesper Svensson,22.8,170271.000,207
40,0,33141,Keegan Bradley,22.9,131163.000,159
40,0,63121,William Mouw,22.9,101501.000,123
40,0,23320,Ryan Palmer,22.9,74333.000,90
40,0,39335,Kevin Roy,22.9,125056.000,152
40,0,60019,Jackson Suber,22.9,118528.000,144
45,0,40058,Zac Blair,23.0,59730.000,72
45,0,35310,Lanto Griffin,23.0,101757.000,123
