RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS,RTP-GOING FOR THE GREEN,RTP-NOT GOING FOR THE GRN
1,0,52453,Nicolai Højgaard,76.83%,126,38,-88,+8
2,0,48081,Xander Schauffele,76.62%,154,47,-89,+2
3,0,59836,Pierceson Coody,75.59%,96,31,-70,-7
4,0,45242,Kevin Yu,73.38%,226,82,-142,-4
5,0,28237,Rory McIlroy,73.08%,133,49,-85,-6
6,0,56781,Isaiah Salinda,72.41%,168,64,-81,+1
7,0,52686,Rasmus Højgaard,72.25%,151,58,-94,+8
8,0,39546,Keith Mitchell,72.24%,177,68,-97,-15
9,0,54421,Garrick Higgo,71.67%,86,34,-57,+5
10,0,66743,Luke Clanton,71.43%,130,52,-78,-4
11,0,63343,Aldrich Potgieter,71.26%,119,48,-71,E
12,0,35706,Niklas Norgaard,70.99%,115,47,-67,-4
13,0,38991,Alejandro Tosti,70.37%,114,48,-69,-1
14,0,48117,Kurt Kitayama,70.00%,168,72,-110,-7
14,0,57586,Jesper Svensson,70.00%,196,84,-141,-3
16,0,59095,Chris Gotterup,69.62%,181,79,-111,+4
17,0,46340,Alex Smalley,69.35%,181,80,-113,-3
18,0,57364,Michael Thorbjornsen,69.17%,175,78,-118,+6
19,0,51950,Max McGreevy,68.97%,180,81,-104,-10
20,0,50474,Tim Widing,68.79%,97,44,-54,+9
21,0,27129,Luke List,68.67%,160,73,-91,+2
22,0,57366,Cameron Young,68.65%,208,95,-118,-17
23,0,51696,Rico Hoey,68.59%,190,87,-120,+2
24,0,33448,Justin Thomas,68.54%,183,84,-107,-7
25,0,46046,Scottie Scheffler,68.52%,185,85,-137,-17
26,0,54591,Ben Griffin,68.31%,235,109,-146,-12
27,0,47420,Jake Knapp,68.06%,196,92,-136,-11
28,0,49960,Sepp Straka,67.86%,171,81,-112,-8
29,0,46601,Trey Mullinax,67.76%,145,69,-84,-4
30,0,37455,Si Woo Kim,67.66%,228,109,-139,-6
31,0,54628,Lee Hodges,67.56%,152,73,-83,-12
32,0,27064,Jhonattan Vegas,67.51%,160,77,-83,+3
