RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
1,0,55789,Taylor Montgomery,46.30%,550,1188
2,0,57975,Harry Hall,45.98%,778,1692
3,0,33448,Justin Thomas,44.58%,642,1440
4,0,57366,Cameron Young,44.57%,698,1566
5,0,47591,Eric Cole,44.24%,852,1926
6,0,46046,Scottie Scheffler,43.61%,628,1440
7,0,23108,Matt Kuchar,43.55%,533,1224
8,0,47504,Sam Burns,43.32%,733,1692
8,0,51349,Nico Echavarria,43.32%,694,1602
10,0,28237,Rory McIlroy,43.30%,452,1044
11,0,49590,Frankie Capan III,43.24%,537,1242
12,0,37275,Sam Ryder,42.99%,681,1584
13,0,35461,Beau Hossler,42.97%,727,1692
14,0,22405,Justin Rose,42.91%,448,1044
15,0,30911,Tommy Fleetwood,42.87%,571,1332
15,0,35532,Tom Hoge,42.87%,710,1656
17,0,47056,Rikuya Hoshino,42.74%,400,936
18,0,51997,Andrew Novak,42.63%,683,1602
19,0,34046,Jordan Spieth,42.40%,519,1224
20,0,33199,Matteo Manassero,42.31%,396,936
21,0,39971,Sungjae Im,42.27%,738,1746
22,0,59141,Matt McCarty,42.16%,645,1530
23,0,27649,Brandt Snedeker,42.14%,531,1260
24,0,32839,Hideki Matsuyama,42.05%,651,1548
25,0,54421,Garrick Higgo,42.01%,363,864
26,0,46443,Brian Campbell,41.99%,514,1224
27,0,47917,Takumi Kanaya,41.98%,612,1458
28,0,47420,Jake Knapp,41.92%,581,1386
29,0,60004,Jacob Bridgeman,41.78%,707,1692
30,0,51766,Wyndham Clark,41.73%,616,1476
30,0,47995,Davis Riley,41.73%,646,1548
32,0,60067,Joe Highsmith,41.67%,615,1476
33,0,36799,Stephan Jaeger,41.64%,667,1602
34,0,52955,Ludvig Åberg,41.63%,517,1242
35,0,51977,Max Greyserman,41.52%,695,1674
36,0,51894,Vince Whaley,41.44%,746,1800
37,0,29936,Ryan Fox,41.43%,522,1260
38,0,39977,Max Homa,41.40%,544,1314
39,0,25900,Lucas Glover,41.33%,558,1350
40,0,55182,Tom Kim,41.28%,639,1548
41,0,37455,Si Woo Kim,41.25%,735,1782
42,0,38991,Alejandro Tosti,41.24%,386,936
43,0,34021,Bud Cauley,41.14%,548,1332
43,0,57900,Chandler Phillips,41.14%,585,1422
45,0,27770,Camilo Villegas,41.08%,525,1278
46,0,40058,Zac Blair,41.07%,451,1098
47,0,45157,Cam Davis,41.06%,473,1152
47,0,54607,Danny Walker,41.06%,510,1242
49,0,52370,Mason Andersen,41.03%,480,1170
49,0,54591,Ben Griffin,41.03%,768,1872
51,0,32102,Rickie Fowler,40.98%,568,1386
52,0,58605,Quade Cummins,40.97%,590,1440
53,0,39546,Keith Mitchell,40.94%,619,1512
54,0,36699,Patrick Rodgers,40.93%,722,1764
55,0,59143,Mac Meissner,40.87%,618,1512
56,0,37378,Min Woo Lee,40.82%,485,1188
57,0,40098,Matt Fitzpatrick,40.69%,542,1332
58,0,39975,Michael Kim,40.63%,702,1728
59,0,34466,Peter Malnati,40.56%,460,1134
60,0,59866,Nick Dunlap,40.54%,540,1332
61,0,30926,Chris Kirk,40.53%,569,1404
