RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL
1,0,51696,Rico Hoey,19
2,0,59018,Ryan Gerard,17
3,0,57123,Steven Fisk,16
3,0,57364,Michael Thorbjornsen,16
3,0,45242,Kevin Yu,16
6,0,51349,Nico Echavarria,15
6,0,39971,Sungjae Im,15
6,0,48117,Kurt Kitayama,15
6,0,57586,Jesper Svensson,15
10,0,54591,Ben Griffin,14
10,0,39335,Kevin Roy,14
10,0,46046,Scottie Scheffler,14
10,0,27139,David Skinns,14
10,0,58168,Davis Thompson,14
10,0,38991,Alejandro Tosti,14
16,0,49947,Taylor Moore,13
16,0,46646,Antoine Rozner,13
16,0,46340,Alex Smalley,13
16,0,60019,Jackson Suber,13
16,0,52666,Sami Valimaki,13
16,0,48887,Matt Wallace,13
22,0,33141,Keegan Bradley,12
22,0,58605,Quade Cummins,12
22,0,56762,Will Gordon,12
22,0,34587,Chan Kim,12
22,0,40162,Justin Lower,12
22,0,28237,Rory McIlroy,12
22,0,46442,Maverick McNealy,12
22,0,54304,Karl Vilips,12
22,0,51894,Vince Whaley,12
31,0,57362,Austin Eckroat,11
31,0,40098,Matt Fitzpatrick,11
31,0,51977,Max Greyserman,11
31,0,30926,Chris Kirk,11
31,0,51950,Max McGreevy,11
31,0,39546,Keith Mitchell,11
31,0,51997,Andrew Novak,11
31,0,33968,Thorbjørn Olesen,11
31,0,56781,Isaiah Salinda,11
31,0,50484,Hayden Springer,11
41,0,45522,Christiaan Bezuidenhout,10
41,0,47504,Sam Burns,10
41,0,35450,Patrick Cantlay,10
41,0,39997,Corey Conners,10
41,0,34076,Joel Dahmen,10
41,0,45157,Cam Davis,10
41,0,60067,Joe Highsmith,10
41,0,54628,Lee Hodges,10
41,0,52686,Rasmus Højgaard,10
41,0,55182,Tom Kim,10
41,0,47420,Jake Knapp,10
41,0,36884,Ben Kohles,10
41,0,32839,Hideki Matsuyama,10
41,0,35706,Niklas Norgaard,10
41,0,36699,Patrick Rodgers,10
41,0,48867,Matti Schmid,10
41,0,55893,Sam Stevens,10
41,0,40006,Erik van Rooyen,10
59,0,52955,Ludvig Åberg,9
59,0,28089,Jason Day,9
59,0,33653,Thomas Detry,9
59,0,59095,Chris Gotterup,9
59,0,35532,Tom Hoge,9
59,0,39975,Michael Kim,9
59,0,37455,Si Woo Kim,9
59,0,47993,Denny McCarthy,9
59,0,50525,Collin Morikawa,9
59,0,46601,Trey Mullinax,9
59,0,30163,Henrik Norlander,9
59,0,48153,Matthieu Pavon,9
59,0,40250,Taylor Pendrith,9
59,0,47995,Davis Riley,9
59,0,51890,Greyson Sigg,9
59,0,34046,Jordan Spieth,9
59,0,35658,Kris Ventura,9
76,0,56630,Akshay Bhatia,8
76,0,59440,Ricky Castillo,8
76,0,47591,Eric Cole,8
76,0,49453,Trevor Cone,8
76,0,29725,Tony Finau,8
76,0,52375,Doug Ghim,8
76,0,57975,Harry Hall,8
76,0,33597,Harry Higgs,8
76,0,51287,Ryo Hisatsune,8
76,0,47056,Rikuya Hoshino,8
76,0,46717,Viktor Hovland,8
76,0,36799,Stephan Jaeger,8
76,0,27129,Luke List,8
76,0,33413,Ben Martin,8
76,0,47679,Victor Perez,8
76,0,28252,Seamus Power,8
76,0,46414,Aaron Rai,8
76,0,60882,Thomas Rosenmueller,8
76,0,48081,Xander Schauffele,8
76,0,39327,Ben Silverman,8
76,0,49960,Sepp Straka,8
