RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,47347,Adam Schenk,35.88%,47,131,-47,-12.00
2,0,51696,Rico Hoey,35.08%,67,191,-67,+2.00
3,0,52686,Rasmus Højgaard,34.87%,53,152,-55,+8.00
4,0,48867,Matti Schmid,33.79%,49,145,-48,+6.00
5,0,34076,Joel Dahmen,33.04%,37,112,-36,-14.00
6,0,59836,Pierceson Coody,32.99%,32,97,-34,-7.00
7,0,33968,Thorbjørn Olesen,32.69%,51,156,-58,-17.00
8,0,28252,Seamus Power,32.12%,44,137,-44,-16.00
9,0,57362,Austin Eckroat,31.82%,56,176,-53,-3.00
10,0,47420,Jake Knapp,31.53%,64,203,-68,-11.00
11,0,57123,Steven Fisk,31.13%,47,151,-49,-5.00
12,0,55708,Hayden Buckley,30.68%,27,88,-25,-9.00
13,0,40250,Taylor Pendrith,30.41%,59,194,-62,-6.00
14,0,24502,Adam Scott,30.37%,41,135,-39,-11.00
15,0,39335,Kevin Roy,30.26%,46,152,-50,-6.00
16,0,38991,Alejandro Tosti,30.17%,35,116,-44,-1.00
17,0,48081,Xander Schauffele,29.81%,48,161,-52,+2.00
18,0,28775,Nate Lashley,29.47%,28,95,-27,-4.00
19,0,57364,Michael Thorbjornsen,29.44%,53,180,-57,+6.00
20,0,36801,Mark Hubbard,29.21%,52,178,-51,-1.00
21,0,25493,Nick Taylor,29.17%,42,144,-41,-11.00
22,0,48117,Kurt Kitayama,28.99%,49,169,-51,-7.00
23,0,46340,Alex Smalley,28.96%,53,183,-58,-3.00
24,0,45242,Kevin Yu,28.82%,66,229,-71,-4.00
25,0,46646,Antoine Rozner,28.78%,40,139,-43,-6.00
26,0,46442,Maverick McNealy,28.72%,56,195,-56,-10.00
27,0,56762,Will Gordon,28.57%,32,112,-33,E
27,0,58619,Kevin Velo,28.57%,28,98,-26,-9.00
29,0,49947,Taylor Moore,28.49%,49,172,-54,-10.00
30,0,51890,Greyson Sigg,28.46%,35,123,-34,-9.00
31,0,32839,Hideki Matsuyama,28.38%,42,148,-44,+4.00
32,0,40115,Adam Svensson,28.26%,39,138,-44,-5.00
33,0,34587,Chan Kim,28.19%,42,149,-46,+5.00
34,0,34255,Joseph Bramlett,27.91%,24,86,-27,+1.00
35,0,54304,Karl Vilips,27.83%,32,115,-40,+4.00
36,0,35706,Niklas Norgaard,27.64%,34,123,-34,-4.00
37,0,32102,Rickie Fowler,27.56%,43,156,-42,-9.00
38,0,51349,Nico Echavarria,27.40%,40,146,-44,-10.00
39,0,33399,Adam Hadwin,27.33%,44,161,-47,+10.00
40,0,30163,Henrik Norlander,27.27%,42,154,-46,-6.00
41,0,52666,Sami Valimaki,27.15%,41,151,-44,-17.00
42,0,50484,Hayden Springer,27.14%,38,140,-41,-21.00
43,0,51766,Wyndham Clark,26.75%,42,157,-45,+1.00
44,0,49453,Trevor Cone,26.72%,35,131,-37,+10.00
45,0,59440,Ricky Castillo,26.71%,39,146,-39,-6.00
46,0,54576,Patrick Fishburn,26.63%,45,169,-47,-6.00
47,0,57586,Jesper Svensson,26.57%,55,207,-61,-3.00
48,0,60067,Joe Highsmith,26.45%,41,155,-44,E
49,0,33653,Thomas Detry,26.32%,40,152,-42,E
50,0,27770,Camilo Villegas,26.26%,26,99,-27,-3.00
51,0,39546,Keith Mitchell,26.23%,48,183,-44,-15.00
52,0,40162,Justin Lower,25.98%,33,127,-38,-7.00
53,0,51950,Max McGreevy,25.97%,47,181,-51,-10.00
54,0,52453,Nicolai Højgaard,25.95%,34,131,-37,+8.00
55,0,47993,Denny McCarthy,25.86%,45,174,-46,-9.00
56,0,33597,Harry Higgs,25.73%,44,171,-44,+2.00
57,0,60019,Jackson Suber,25.69%,37,144,-42,+2.00
58,0,66743,Luke Clanton,25.56%,34,133,-34,-4.00
58,0,23320,Ryan Palmer,25.56%,23,90,-20,-2.00
60,0,58168,Davis Thompson,25.49%,52,204,-58,+8.00
61,0,51690,Taylor Dickson,25.26%,24,95,-26,+4.00
62,0,63121,William Mouw,25.20%,31,123,-29,+3.00
63,0,40058,Zac Blair,25.00%,18,72,-20,-11.00
63,0,40098,Matt Fitzpatrick,25.00%,39,156,-41,+3.00
63,0,24024,Zach Johnson,25.00%,12,48,-11,-11.00
63,0,49960,Sepp Straka,25.00%,43,172,-48,-8.00
67,0,27644,Brian Harman,24.84%,39,157,-36,-20.00
67,0,27129,Luke List,24.84%,40,161,-41,+2.00
69,0,33413,Ben Martin,24.74%,24,97,-26,-12.00
70,0,46414,Aaron Rai,24.66%,36,146,-39,-7.00
71,0,36884,Ben Kohles,24.63%,33,134,-30,-13.00
71,0,27139,David Skinns,24.63%,33,134,-36,+6.00
73,0,51977,Max Greyserman,24.60%,46,187,-52,+1.00
73,0,39327,Ben Silverman,24.60%,31,126,-29,-13.00
75,0,52955,Ludvig Åberg,24.48%,35,143,-39,-2.00
76,0,56781,Isaiah Salinda,24.42%,42,172,-45,+1.00
77,0,55893,Sam Stevens,24.31%,53,218,-57,+5.00
78,0,39975,Michael Kim,24.28%,42,173,-38,-14.00
79,0,46717,Viktor Hovland,24.24%,32,132,-32,-9.00
80,0,48887,Matt Wallace,24.22%,31,128,-29,-8.00
81,0,46046,Scottie Scheffler,24.19%,45,186,-52,-17.00
82,0,52215,Robert MacIntyre,24.02%,43,179,-42,-13.00
83,0,51287,Ryo Hisatsune,23.98%,41,171,-40,-10.00
84,0,40006,Erik van Rooyen,23.81%,35,147,-38,+4.00
85,0,39997,Corey Conners,23.78%,39,164,-44,-13.00
86,0,64693,Matthew Riedel,23.58%,25,106,-23,-2.00
87,0,56630,Akshay Bhatia,23.50%,43,183,-47,+3.00
88,0,30926,Chris Kirk,23.46%,38,162,-40,-6.00
88,0,47679,Victor Perez,23.46%,42,179,-44,-14.00
90,0,31323,Gary Woodland,23.35%,39,167,-36,+2.00
91,0,39859,Cristobal Del Solar,23.30%,24,103,-27,+10.00
92,0,59143,Mac Meissner,23.27%,37,159,-36,+4.00
93,0,60882,Thomas Rosenmueller,23.24%,33,142,-31,+2.00
93,0,35658,Kris Ventura,23.24%,33,142,-35,-12.00
95,0,46601,Trey Mullinax,23.13%,34,147,-31,-4.00
96,0,59160,John Pak,22.86%,24,105,-27,-6.00
97,0,27064,Jhonattan Vegas,22.84%,37,162,-38,+3.00
98,0,51997,Andrew Novak,22.81%,39,171,-45,-4.00
99,0,48153,Matthieu Pavon,22.70%,37,163,-44,+4.00
100,0,37275,Sam Ryder,22.67%,39,172,-39,-7.00
