RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:OTT,MEASURED ROUNDS
1,0,59836,Pierceson Coody,0.789,26.812,34
2,0,46046,Scottie Scheffler,0.748,53.865,72
3,0,51696,Rico Hoey,0.678,51.527,76
4,0,28237,Rory McIlroy,0.671,33.536,50
5,0,35706,Niklas Norgaard,0.626,27.565,44
6,0,45242,Kevin Yu,0.615,47.959,78
7,0,57364,Michael Thorbjornsen,0.588,38.236,65
8,0,63343,Aldrich Potgieter,0.572,25.178,44
9,0,59095,Chris Gotterup,0.566,40.728,72
10,0,57586,Jesper Svensson,0.553,41.451,75
11,0,40250,Taylor Pendrith,0.542,41.699,77
12,0,48117,Kurt Kitayama,0.535,35.851,67
13,0,39546,Keith Mitchell,0.533,36.790,69
14,0,52955,Ludvig Åberg,0.524,31.446,60
15,0,56781,Isaiah Salinda,0.516,30.450,59
16,0,50525,Collin Morikawa,0.492,32.458,66
17,0,58168,Davis Thompson,0.463,37.530,81
18,0,40026,Daniel Berger,0.414,27.711,67
19,0,46340,Alex Smalley,0.409,28.605,70
20,0,51950,Max McGreevy,0.402,28.117,70
21,0,57123,Steven Fisk,0.392,24.713,63
22,0,46414,Aaron Rai,0.391,24.608,63
23,0,33948,Byeong Hun An,0.389,31.544,81
24,0,39997,Corey Conners,0.388,28.306,73
25,0,27129,Luke List,0.371,23.390,63
26,0,59440,Ricky Castillo,0.360,23.020,64
27,0,60882,Thomas Rosenmueller,0.353,20.132,57
28,0,38991,Alejandro Tosti,0.352,15.128,43
29,0,24502,Adam Scott,0.348,20.199,58
30,0,37455,Si Woo Kim,0.343,30.485,89
31,0,57366,Cameron Young,0.317,25.647,81
32,0,33141,Keegan Bradley,0.316,23.033,73
33,0,66743,Luke Clanton,0.313,15.675,50
33,0,34046,Jordan Spieth,0.313,18.799,60
35,0,39971,Sungjae Im,0.312,25.622,82
36,0,34255,Joseph Bramlett,0.308,10.467,34
37,0,55893,Sam Stevens,0.302,29.567,98
38,0,35450,Patrick Cantlay,0.298,19.638,66
39,0,52375,Doug Ghim,0.297,22.008,74
40,0,63121,William Mouw,0.296,15.672,53
41,0,39324,J.J. Spaun,0.291,22.087,76
42,0,39335,Kevin Roy,0.289,19.075,66
43,0,32102,Rickie Fowler,0.285,20.200,71
44,0,49453,Trevor Cone,0.277,14.667,53
45,0,54576,Patrick Fishburn,0.263,18.166,69
46,0,27064,Jhonattan Vegas,0.262,16.263,62
47,0,34099,Harris English,0.260,19.755,76
48,0,47420,Jake Knapp,0.248,18.319,74
48,0,31323,Gary Woodland,0.248,17.872,72
50,0,30911,Tommy Fleetwood,0.242,15.963,66
51,0,45523,Thriston Lawrence,0.231,9.464,41
52,0,52215,Robert MacIntyre,0.228,17.820,78
52,0,49960,Sepp Straka,0.228,15.537,68
54,0,33968,Thorbjørn Olesen,0.220,14.737,67
55,0,57362,Austin Eckroat,0.213,15.770,74
56,0,52453,Nicolai Højgaard,0.212,8.923,42
57,0,50484,Hayden Springer,0.198,11.074,56
58,0,54591,Ben Griffin,0.196,18.662,95
59,0,34076,Joel Dahmen,0.188,11.102,59
60,0,40006,Erik van Rooyen,0.186,11.363,61
61,0,46442,Maverick McNealy,0.185,15.757,85
62,0,31646,Emiliano Grillo,0.184,14.544,79
63,0,52686,Rasmus Højgaard,0.183,9.870,54
