RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS
1,0,59836,Pierceson Coody,77.55%,76,22
2,0,48081,Xander Schauffele,75.00%,117,39
3,0,39546,Keith Mitchell,73.33%,154,56
4,0,52453,Nicolai Højgaard,73.13%,98,36
5,0,52686,Rasmus Højgaard,72.89%,121,45
6,0,45242,Kevin Yu,72.76%,179,67
7,0,56781,Isaiah Salinda,72.22%,143,55
8,0,48117,Kurt Kitayama,71.43%,140,56
9,0,27129,Luke List,71.21%,141,57
10,0,28237,Rory McIlroy,70.83%,102,42
11,0,51696,Rico Hoey,70.80%,160,66
12,0,66743,Luke Clanton,70.13%,108,46
13,0,35706,Niklas Norgaard,69.70%,92,40
14,0,37455,Si Woo Kim,69.12%,188,84
15,0,57366,Cameron Young,69.11%,170,76
16,0,54421,Garrick Higgo,69.00%,69,31
17,0,50474,Tim Widing,68.97%,80,36
18,0,59095,Chris Gotterup,68.87%,146,66
19,0,51950,Max McGreevy,68.81%,150,68
20,0,63343,Aldrich Potgieter,68.75%,99,45
21,0,54576,Patrick Fishburn,68.57%,144,66
21,0,49960,Sepp Straka,68.57%,144,66
23,0,46340,Alex Smalley,68.52%,148,68
24,0,28089,Jason Day,68.29%,112,52
25,0,54628,Lee Hodges,68.28%,127,59
26,0,38991,Alejandro Tosti,67.86%,95,45
27,0,57586,Jesper Svensson,67.67%,157,75
28,0,46046,Scottie Scheffler,67.59%,146,70
29,0,47420,Jake Knapp,67.36%,163,79
30,0,33448,Justin Thomas,67.12%,149,73
31,0,54591,Ben Griffin,67.01%,193,95
32,0,35450,Patrick Cantlay,66.82%,143,71
33,0,47995,Davis Riley,66.67%,132,66
34,0,27064,Jhonattan Vegas,66.32%,126,64
35,0,58168,Davis Thompson,66.28%,171,87
36,0,35461,Beau Hossler,66.14%,168,86
37,0,40006,Erik van Rooyen,66.13%,123,63
38,0,39971,Sungjae Im,66.12%,160,82
39,0,57364,Michael Thorbjornsen,66.00%,132,68
40,0,29725,Tony Finau,65.98%,128,66
41,0,34046,Jordan Spieth,65.93%,120,62
41,0,60019,Jackson Suber,65.93%,120,62
43,0,48867,Matti Schmid,65.76%,121,63
44,0,46601,Trey Mullinax,65.34%,115,61
44,0,60882,Thomas Rosenmueller,65.34%,115,61
46,0,32102,Rickie Fowler,65.26%,139,74
47,0,47679,Victor Perez,65.04%,147,79
48,0,59018,Ryan Gerard,64.89%,170,92
49,0,33597,Harry Higgs,64.76%,136,74
50,0,51634,Sahith Theegala,64.65%,128,70
51,0,63121,William Mouw,64.56%,102,56
52,0,52215,Robert MacIntyre,64.35%,139,77
52,0,31323,Gary Woodland,64.35%,139,77
54,0,30163,Henrik Norlander,64.15%,136,76
