RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,2.743,197.507,169.995,27.512,72
2,0,30911,Tommy Fleetwood,1.629,107.535,80.841,26.693,66
3,0,28237,Rory McIlroy,1.543,77.145,47.301,29.844,50
4,0,34098,Russell Henley,1.317,86.917,72.390,14.526,66
5,0,54591,Ben Griffin,1.223,116.139,77.492,38.646,95
6,0,57975,Harry Hall,1.178,98.969,24.991,73.979,84
7,0,39324,J.J. Spaun,1.158,88.006,79.424,8.580,76
8,0,49960,Sepp Straka,1.072,72.908,56.793,16.112,68
9,0,35450,Patrick Cantlay,1.057,69.732,59.489,10.245,66
10,0,33448,Justin Thomas,1.001,70.091,46.318,23.772,70
11,0,47504,Sam Burns,0.997,83.733,1.151,82.585,84
12,0,33141,Keegan Bradley,0.981,71.603,75.666,-4.064,73
13,0,34046,Jordan Spieth,0.899,53.952,44.819,9.133,60
14,0,52215,Robert MacIntyre,0.894,69.767,50.194,19.573,78
15,0,50525,Collin Morikawa,0.892,58.843,79.526,-20.684,66
16,0,46717,Viktor Hovland,0.844,48.102,52.070,-3.970,57
17,0,48117,Kurt Kitayama,0.826,55.320,73.313,-17.992,67
18,0,46414,Aaron Rai,0.808,50.901,59.324,-8.426,63
19,0,33968,Thorbjørn Olesen,0.802,53.732,30.141,23.593,67
19,0,57366,Cameron Young,0.802,64.994,12.977,52.018,81
21,0,45242,Kevin Yu,0.794,61.899,60.873,1.026,78
22,0,54421,Garrick Higgo,0.782,24.251,3.751,20.500,31
23,0,33204,Shane Lowry,0.769,46.894,54.408,-7.513,61
24,0,32839,Hideki Matsuyama,0.755,55.103,57.588,-2.485,73
25,0,37455,Si Woo Kim,0.751,66.802,99.477,-32.673,89
26,0,46442,Maverick McNealy,0.740,62.896,33.148,29.746,85
27,0,52453,Nicolai Højgaard,0.715,30.018,22.024,7.992,42
28,0,59836,Pierceson Coody,0.714,24.292,28.588,-4.296,34
29,0,39997,Corey Conners,0.683,49.869,40.143,9.728,73
30,0,40250,Taylor Pendrith,0.664,51.092,48.912,2.180,77
31,0,46340,Alex Smalley,0.657,46.017,43.022,2.996,70
32,0,25493,Nick Taylor,0.654,47.077,37.837,9.240,72
33,0,54628,Lee Hodges,0.653,40.483,36.992,3.493,62
34,0,40098,Matt Fitzpatrick,0.647,42.701,21.189,21.510,66
35,0,34021,Bud Cauley,0.645,41.955,34.311,7.645,65
36,0,56630,Akshay Bhatia,0.638,50.404,28.501,21.905,79
37,0,47420,Jake Knapp,0.617,45.629,11.909,33.720,74
38,0,34099,Harris English,0.611,46.472,14.699,31.774,76
39,0,52666,Sami Valimaki,0.605,41.763,3.964,37.799,69
40,0,47993,Denny McCarthy,0.597,48.380,-6.638,55.018,81
41,0,59095,Chris Gotterup,0.585,42.103,41.827,.277,72
42,0,47679,Victor Perez,0.568,41.496,25.821,15.675,73
